WO,Machine_categori,Machine_description,Instruction,Short_description,Technicians_description,Spareparts,Costumer_mistake_mads,Invoiced
WO023768,95,Kaffemaskine 95 R&G,,,,257049;261900;266009;0V0782;5033977;0V1654;260549;13503;251757;256280;252538;260051;256273;258904;259248;254565;099058,Ja,Nej
WO051812,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Noget er knækket ved udleveringshovedet så det kan ikke sidde fast ved udlevering løber alt bare ud over det hele De har slukket maskinen indtil vi har været forbi ,Noget er knækket ved udleveringshovedet så det kan ikke sidde fast ved udlevering løber alt bare ud over det hele De har slukket maskinen indtil vi har været forbi,,126257,Ja,Ja
WO051776,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2,Lækker meget vand under rengøring under maskinen spildbakken sidder korrekt ,Lækker meget vand under rengøring under maskinen spildbakken sidder korrekt,BCA er det brugerfejl Faktureres ikke ifølge STR,,Ja,Nej
WO051809,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 TC,Ring til kunden og aftal hvornår du kommer Pinden i den røde rensenøgle er knækket ,Ring til kunden og aftal hvornår du kommer Pinden i den røde rensenøgle er knækket,kd oplyser det ikke er superkritisk vi kommer i dag da de har andre maskiner men han vil så gerne vide hvornår vi kommer og kan vi nå det i dag er han glad ,133555,Ja,Ja
WO051789,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS TC,Melder koger ikke klar og det bliver den ved med også efter genstart,Melder koger ikke klar og det bliver den ved med også efter genstart,Ringet ind første gang lørdag kl 12 30 Vi prøvede forskellige ting uden held Vi kører den søndag UB da det blev for sent Lørdag,,Nej,Nej
WO051773,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS TC,Registrerer ikke tabs i den blå rensenøgle Kan ikke gennemføre rens,Registrerer ikke tabs i den blå rensenøgle Kan ikke gennemføre rens,27 12 24 Nulstillet servicetæller + filtertæller,132067,Ja,Ja
WO051771,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Fejlsøge på utæthed i maskinen Drypper med vand under maskinen STR har bedt kunden om at slukke maskine og lukke for vandtilførsel Ønsker besøg idag d 27 12 24 ,Fejlsøge på utæthed i maskinen Drypper med vand under maskinen STR har bedt kunden om at slukke maskine og lukke for vandtilførselØnsker besøg idag d27 1224,,127140,Nej,Nej
WO050921,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,går i stå i rengøring og er utæt vi var der i fredags,går i stå i rengøring og er utætvi var der i fredags,vi var der i fredags Vagtudkald Lørdag ASA 22 12 OBS Ændre serienummer i WO til en maskine og ændre tekst i work order instructions ,,Nej,Nej
WO046965,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2,Piston error,Piston error,,,Nej,Nej
WO046938,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Stadig utæt under maskine ,Stadig utæt under maskine,,125393;126936,Nej,Nej
WO046941,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS,Lækker vand tror der er noget med afløbsslangen for drypbakke bliver overfyldt så vandet løber ud på bordet og ned på gulvet,Lækker vand tror der er noget med afløbsslangen for drypbakke bliver overfyldt så vandet løber ud på bordet og ned på gulvet,Meldt ind af Kontra,101226,Måske,Nej
WO046904,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P TC,Gerne besøg efter kl 10 Kakao flyder over inde i maskinen kaffen smager meget bittert og hver gang en gæst skal have en ny drik er den meget langsom og ligner den går ud mellem hver udlevering ,Gerne besøg efter kl10 Kakao flyder over inde i maskinen kaffen smager meget bittert og hver gang en gæst skal have en ny drik er den meget langsom og ligner den går ud mellem hver udlevering,Hun mente der kunne være en bønne i kakaoen ,131816;124748,Måske,Nej
WO046952,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 TC,Fejl på sd kort ,Fejl på sd kort,Meldt ind af AOK,,Nej,Nej
WO046864,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS TC,Larmer meget ved udlevering af kakao og kakao flyder over ved tragt Har haft tragt ude for at rengøre og beholder ,Larmer meget ved udlevering af kakao og kakao flyder over ved tragt Har haft tragt ude for at rengøre og beholder,BCA mangler løsning,,Ja,Nej
WO046912,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P TC,Maskinen doserer ikke korrekt Kaffen er ikke stærk nok i smag og ser også meget tynd ud i koppen ,Maskinen doserer ikke korrekt Kaffen er ikke stærk nok i smag og ser også meget tynd ud i koppen,,,Nej,Nej
WO046885,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS,Melder vandflowfejl Der er vand til maskinen ,Melder vandflowfejl Der er vand til maskinen,,108082,Nej,Nej
WO046910,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS TC,Meget gerne i dag hvis muligt Der løber vand ud under maskinen ud over det hele De kan tr ikke lave kaffe på maskinen ,Meget gerne i dag hvis muligt Der løber vand ud under maskinen ud over det hele De kan tr ikke lave kaffe på maskinen,,126326;127140,Nej,Nej
WO046702,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS,Maskine er begyndt at larme meget i den sidste del af rengøringsprogram ,Maskine er begyndt at larme meget i den sidste del af rengøringsprogram,HKN Har snakket med Jens Ole det er under regøring af kakao Jeg har ikke en ny mixermotor i bilen er bestilt Larmer I kakaomixer motor Har prøvet at renset mixermotor uden held den er ikke ret gammel ,131816,Måske,Nej
WO046661,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Kontakt for aftale om besøg Drypper med vand under maskine bagtil Kommer løbene hele dagen ,Kontakt for aftale om besøg Drypper med vand under maskine bagtil Kommer løbene hele dagen,Forskellige åbningstider men kan ligge nøgle ud ,125665,Nej,Nej
WO046876,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Kommer ingen kakao ud har forsøgt med rengøring samt kommer med mærkelig lyd Ved eks espresso stopper den halvvejs ved 50% udlevering ,Kommer ingen kakao ud har forsøgt med rengøring samt kommer med mærkelig lyd Ved eks espresso stopper den halvvejs ved 50% udlevering,Ringet ind af engelsktalende mand tlf 32464610 Kunden skal betale ,,Ja,Ja
WO046869,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Røde pind bag rensenøgle er knækket ,Røde pind bag rensenøgle er knækket,Kode til tekniker Maskinen registrere ikke kafferensetabs Piston er knækket Se løsningsforslag i fejlkodedokumentet,133555,Ja,Ja
WO046859,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS,Maskine vil ikke køre renseprogram færdigt ,Maskine vil ikke køre renseprogram færdigt,Kunden er blevet gjort opmærksom på at de skal have ændret deres afløb,,Nej,Nej
WO046805,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2,Ønsker besøg hurtigt Stopper i rengøring Melder piston error ,Ønsker besøg hurtigtStopper i rengøring Melder piston error,Ønsker besøg hurtigt ,,Nej,Nej
WO046871,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Kakao flyder over og har haft tragt ude fro at rengøre ,Kakao flyder over og har haft tragt ude fro at rengøre,Maskine beder også om filterskifte ,,Ja,Ja
