WO,Maskinkategori,Maskinbeskrivelse,Instruktion,Short_description,Teknikker_description,Reservedele,Kundefejl_mads,Faktureret
WO023768,95,Kaffemaskine 95 R&G,,,,257049;261900;266009;0V0782;5033977;0V1654;260549;13503;251757;256280;252538;260051;256273;258904;259248;254565;099058,Ja,Nej
WO051812,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Noget er knækket ved udleveringshovedet så det kan ikke sidde fast ved udlevering løber alt bare ud over det hele De har slukket maskinen indtil vi har været forbi,Noget er knækket ved udleveringshovedet så det kan ikke sidde fast ved udlevering løber alt bare ud over det hele De har slukket maskinen indtil vi har været forbi,Noget er knækket ved udleveringshovedet så det kan ikke sidde fast ved udlevering løber alt bare ud over det hele De har slukket maskinen indtil vi har været forbi,126257,Ja,Ja
WO051776,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2,Lækker meget vand under rengøring under maskinen spildbakken sidder korrekt,Lækker meget vand under rengøring under maskinen spildbakken sidder korrekt,Lækker meget vand under rengøring under maskinen spildbakken sidder korrekt,,Ja,Nej
WO051809,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 TC,Ring til kunden og aftal hvornår du kommer Pinden i den røde rensenøgle er knækket,Ring til kunden og aftal hvornår du kommer Pinden i den røde rensenøgle er knækket,Ring til kunden og aftal hvornår du kommer Pinden i den røde rensenøgle er knækket,133555,Ja,Ja
WO051789,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS TC,Melder koger ikke klar og det bliver den ved med også efter genstart,Melder koger ikke klar og det bliver den ved med også efter genstart,Melder koger ikke klar og det bliver den ved med også efter genstart,,Nej,Nej
WO051773,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS TC,Registrerer ikke tabs i den blå rensenøgle Kan ikke gennemføre rens,Registrerer ikke tabs i den blå rensenøgle Kan ikke gennemføre rens,Registrerer ikke tabs i den blå rensenøgle Kan ikke gennemføre rens,132067,Ja,Ja
WO051771,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Fejlsøge på utæthed i maskinen Drypper med vand under maskinen STR har bedt kunden om at slukke maskine og lukke for vandtilførselØnsker besøg idag d27 1224,Fejlsøge på utæthed i maskinen Drypper med vand under maskinen STR har bedt kunden om at slukke maskine og lukke for vandtilførselØnsker besøg idag d27 1224,Fejlsøge på utæthed i maskinen Drypper med vand under maskinen STR har bedt kunden om at slukke maskine og lukke for vandtilførselØnsker besøg idag d27 1224,127140,Nej,Nej
WO050921,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,går i stå i rengøring og er utætvi var der i fredags,går i stå i rengøring og er utætvi var der i fredags,går i stå i rengøring og er utætvi var der i fredags,,Nej,Nej
WO046965,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2,Piston error,Piston error,Piston error,,Nej,Nej
WO046938,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Stadig utæt under maskine,Stadig utæt under maskine,Stadig utæt under maskine,125393;126936,Nej,Nej
WO046941,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS,Lækker vand tror der er noget med afløbsslangen for drypbakke bliver overfyldt så vandet løber ud på bordet og ned på gulvet,Lækker vand tror der er noget med afløbsslangen for drypbakke bliver overfyldt så vandet løber ud på bordet og ned på gulvet,Lækker vand tror der er noget med afløbsslangen for drypbakke bliver overfyldt så vandet løber ud på bordet og ned på gulvet,101226,Måske,Nej
